Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	cancer	cancer	cancer	cancer	cancer	healthy	healthy	healthy	healthy	healthy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__	75.0	128.75	272.0	388.5	528.0	33.0	198.25	325.5	521.25	827.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	7.0	42.75	90.5	158.25	482.0	9.0	103.5	168.0	279.5	631.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes	1.0	1.0	5.5	23.25	78.0	1.0	1.0	15.0	20.0	32.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	259.0	612.0	976.5	2183.75	3240.0	75.0	551.75	977.5	1491.25	2870.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio	1.0	1.0	1.0	1.0	237.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium	5.0	65.0	101.5	246.5	657.0	18.0	98.0	241.0	287.25	764.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus	179.0	313.75	440.5	555.75	687.0	104.0	405.0	605.5	1029.5	1362.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Defluviitalea	1.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0	1.0	3.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	18.0	72.25	150.5	256.5	393.0	28.0	72.25	129.0	233.0	582.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Epulopiscium	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnobacterium	1.0	1.0	1.0	1.0	18.0	1.0	1.0	1.0	15.25	134.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira	1.0	1.0	14.5	34.5	106.0	1.0	4.0	15.0	39.0	157.0
